student id,last_name,first_name,email_address
1,Ben,Bell,1@massey.co.nz
2,Gracie-Leigh,Willis,2@massey.co.nz
3,Tim,Ortiz,3@massey.co.nz
4,Minnie,Allen,4@massey.co.nz
5,Laibah,Wilkes,5@massey.co.nz
6,Romy,Salazar,6@massey.co.nz
7,Tahmid,Handley,7@massey.co.nz
8,Jaya,Wilcox,8@massey.co.nz
9,Aiysha,Jensen,9@massey.co.nz
10,Maeve,Giles,10@massey.co.nz
11,Mac,Blake,11@massey.co.nz
12,Jan,Bourke,12@massey.co.nz
13,Mackenzie,Snelling,13@massey.co.nz
14,Max,Stafford,14@massey.co.nz
15,Jemmy,Jardine,15@massey.co.nz
16,Jessie,Cornell,16@massey.co.nz
17,Annabel,Mann,17@massey.co.nz
18,Rusty,Parish,18@massey.co.nz
19,Shantel,Cartwright,19@massey.co.nz
20,Cristen,Belcher,20@masssey.co.nz
